epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,1930.09,1.82777,0.81275,2.06967,0.9311,0.89714,0.9476,0.64221,2.50984,0.91816,2.55852,0.000528272,0.000528272,0.000528272
140,1943.76,1.77082,0.79842,2.03114,0.94461,0.91599,0.94649,0.62697,2.55125,0.91146,2.615,0.000520021,0.000520021,0.000520021
141,1957.76,1.75977,0.77104,2.02356,0.91969,0.90524,0.94729,0.62292,2.56438,0.93976,2.56799,0.000511769,0.000511769,0.000511769
142,1971.63,1.77672,0.78472,2.03626,0.94559,0.90844,0.9475,0.62046,2.51145,0.93913,2.58072,0.000503517,0.000503517,0.000503517
143,1985.48,1.78107,0.78137,2.05446,0.95097,0.88084,0.94595,0.62483,2.51501,0.94602,2.55112,0.000495266,0.000495266,0.000495266
144,1999.38,1.77362,0.7686,2.03948,0.96255,0.89906,0.94928,0.61414,2.55499,0.9316,2.55505,0.000487014,0.000487014,0.000487014
145,2013.44,1.7613,0.77415,2.02289,0.93991,0.89125,0.94418,0.62015,2.52036,0.92298,2.54602,0.000478762,0.000478762,0.000478762
146,2027.41,1.75357,0.77321,2.0313,0.94277,0.90897,0.95187,0.62359,2.55454,0.93514,2.63518,0.000470511,0.000470511,0.000470511
147,2041.3,1.73415,0.75779,2.03162,0.95564,0.90615,0.95054,0.6278,2.51258,0.92677,2.57609,0.000462259,0.000462259,0.000462259
148,2055.12,1.75233,0.77076,2.03045,0.96394,0.90691,0.95015,0.62504,2.51285,0.94662,2.64096,0.000454007,0.000454007,0.000454007
149,2069.1,1.7162,0.76392,2.00702,0.95594,0.91164,0.95042,0.62575,2.53855,0.92937,2.59478,0.000445756,0.000445756,0.000445756
150,2083.08,1.72633,0.76035,2.01563,0.97814,0.89021,0.94804,0.62458,2.5224,0.93991,2.59149,0.000437504,0.000437504,0.000437504
151,2097.04,1.72433,0.76594,2.02526,0.93335,0.90684,0.9461,0.619,2.54862,0.92673,2.62788,0.000429253,0.000429253,0.000429253
152,2110.88,1.70385,0.7593,2.01259,0.96052,0.9042,0.94742,0.62891,2.53882,0.94975,2.59154,0.000421001,0.000421001,0.000421001
153,2124.66,1.7336,0.77014,2.02133,0.96973,0.91029,0.94874,0.62215,2.51094,0.91373,2.5436,0.000412749,0.000412749,0.000412749
154,2138.63,1.72326,0.75825,2.01556,0.95125,0.90171,0.95108,0.63271,2.51245,0.9332,2.59184,0.000404498,0.000404498,0.000404498
155,2152.3,1.69859,0.74584,2.01165,0.96311,0.89794,0.94907,0.63021,2.56178,0.92234,2.64865,0.000396246,0.000396246,0.000396246
156,2166.29,1.7217,0.76498,2.03094,0.94093,0.90961,0.94995,0.6298,2.5466,0.93806,2.637,0.000387994,0.000387994,0.000387994
157,2180,1.71017,0.75399,2.00863,0.96437,0.90213,0.95339,0.63179,2.5578,0.92892,2.62264,0.000379743,0.000379743,0.000379743
158,2193.9,1.69203,0.7365,2.00862,0.96325,0.90774,0.95162,0.63126,2.52468,0.93005,2.57716,0.000371491,0.000371491,0.000371491
159,2207.85,1.68398,0.7471,1.99528,0.96809,0.90051,0.94777,0.63047,2.49871,0.92273,2.51634,0.000363239,0.000363239,0.000363239
160,2221.65,1.67921,0.74253,1.9854,0.95085,0.90886,0.95332,0.62542,2.5426,0.93377,2.6123,0.000354988,0.000354988,0.000354988
161,2235.57,1.67124,0.74898,2.0035,0.95246,0.88596,0.94725,0.62877,2.54307,0.92197,2.62496,0.000346736,0.000346736,0.000346736
162,2249.31,1.68981,0.74298,2.00176,0.93723,0.90946,0.95682,0.64103,2.55721,0.91761,2.63141,0.000338484,0.000338484,0.000338484
163,2263.26,1.67021,0.73475,1.99583,0.97115,0.88598,0.9542,0.63358,2.5396,0.93527,2.62177,0.000330233,0.000330233,0.000330233
164,2277.17,1.66746,0.72767,1.99997,0.95133,0.90777,0.95361,0.62071,2.5602,0.91997,2.63987,0.000321981,0.000321981,0.000321981
165,2291.12,1.65741,0.72849,1.99225,0.94759,0.91082,0.95444,0.63288,2.55337,0.92488,2.6912,0.000313729,0.000313729,0.000313729
166,2305.04,1.64257,0.72426,1.99484,0.94838,0.89788,0.95105,0.6362,2.56297,0.92591,2.67527,0.000305478,0.000305478,0.000305478
167,2318.89,1.67235,0.73197,1.99926,0.94755,0.89422,0.94852,0.61962,2.53784,0.91296,2.59584,0.000297226,0.000297226,0.000297226
168,2332.7,1.64939,0.7146,1.98455,0.94028,0.90289,0.9491,0.62634,2.54779,0.92948,2.65115,0.000288974,0.000288974,0.000288974
169,2346.63,1.62606,0.71894,1.98141,0.95189,0.88235,0.95104,0.63318,2.54591,0.92745,2.64435,0.000280723,0.000280723,0.000280723
170,2360.49,1.64522,0.73968,1.99284,0.94153,0.908,0.94879,0.62801,2.53176,0.91965,2.62197,0.000272471,0.000272471,0.000272471
171,2374.49,1.63168,0.71499,1.97107,0.95099,0.90304,0.95026,0.62993,2.53061,0.92373,2.64142,0.00026422,0.00026422,0.00026422
172,2388.4,1.64345,0.72668,1.99494,0.93629,0.91636,0.94907,0.632,2.55058,0.92107,2.64863,0.000255968,0.000255968,0.000255968
173,2402.29,1.60902,0.70639,1.96947,0.95855,0.88939,0.95218,0.63262,2.51857,0.92183,2.60967,0.000247716,0.000247716,0.000247716
174,2416.27,1.63233,0.71098,1.98273,0.94583,0.91433,0.94847,0.63223,2.51861,0.92168,2.61215,0.000239465,0.000239465,0.000239465
175,2430.13,1.61774,0.69613,1.96748,0.94473,0.89849,0.94809,0.63191,2.54866,0.94457,2.61268,0.000231213,0.000231213,0.000231213
176,2444.01,1.61669,0.7113,1.9664,0.94823,0.90831,0.95149,0.63252,2.53063,0.9206,2.64931,0.000222961,0.000222961,0.000222961
177,2457.91,1.59614,0.70794,1.97054,0.96082,0.90179,0.95131,0.62732,2.53342,0.92173,2.65742,0.00021471,0.00021471,0.00021471
178,2471.8,1.60745,0.70765,1.98227,0.94847,0.89534,0.94724,0.62825,2.52079,0.94314,2.67179,0.000206458,0.000206458,0.000206458
179,2485.66,1.58427,0.69873,1.96643,0.94658,0.89742,0.94669,0.63084,2.52983,0.93753,2.64516,0.000198206,0.000198206,0.000198206
180,2499.33,1.58394,0.70901,1.96343,0.96518,0.88227,0.94665,0.63107,2.53823,0.92407,2.64775,0.000189955,0.000189955,0.000189955
